1 1 579 423 0.7306
1 2 549 119 0.2168
2 2 1108 546 0.4928
2 3 1097 244 0.2224
2 4 1090 100 0.9174E-01
3 3 1636 629 0.3845
3 4 1660 356 0.2145
3 5 1653 185 0.1119
3 6 1649 91 0.5518E-01
4 4 2218 773 0.3485
4 5 2160 414 0.1917
4 6 2174 241 0.1109
4 7 2193 132 0.6019E-01
4 8 2219 65 0.2929E-01
5 5 2773 833 0.3004
5 6 2784 541 0.1943
5 7 2792 356 0.1275
5 8 2719 185 0.6804E-01
5 9 2705 95 0.3512E-01
5 10 2727 47 0.1724E-01
6 6 3313 899 0.2714
6 7 3266 590 0.1806
6 8 3276 377 0.1151
6 9 3274 224 0.6842E-01
6 10 3340 151 0.4521E-01
6 11 3291 77 0.2340E-01
6 12 3287 38 0.1156E-01
7 7 3870 988 0.2553
7 8 3819 660 0.1728
7 9 3871 479 0.1237
7 10 3925 335 0.8535E-01
7 11 3878 191 0.4925E-01
7 12 3870 99 0.2558E-01
7 13 3811 44 0.1155E-01
7 14 3878 28 0.7220E-02
8 8 4447 1062 0.2388
8 9 4477 774 0.1729
8 10 4478 549 0.1226
8 11 4447 363 0.8163E-01
8 12 4501 242 0.5377E-01
8 13 4508 148 0.3283E-01
8 14 4453 70 0.1572E-01
8 15 4381 38 0.8674E-02
8 16 4407 22 0.4992E-02
9 9 4893 1067 0.2181
9 10 4973 824 0.1657
9 11 4967 580 0.1168
9 12 4988 409 0.8200E-01
9 13 4964 275 0.5540E-01
9 14 5065 184 0.3633E-01
9 15 5065 111 0.2192E-01
9 16 5052 69 0.1366E-01
9 17 5030 33 0.6561E-02
9 18 5002 17 0.3399E-02
10 10 5459 1128 0.2066
10 11 5542 885 0.1597
10 12 5491 625 0.1138
10 13 5515 454 0.8232E-01
10 14 5564 308 0.5536E-01
10 15 5492 183 0.3332E-01
10 16 5478 105 0.1917E-01
10 17 5627 82 0.1457E-01
10 18 5682 49 0.8624E-02
10 19 5577 24 0.4303E-02
10 20 5549 11 0.1982E-02
11 11 6123 1266 0.2068
11 12 6079 967 0.1591
11 13 6003 674 0.1123
11 14 6049 493 0.8150E-01
11 15 6105 361 0.5913E-01
11 16 6089 229 0.3761E-01
11 17 6150 153 0.2488E-01
11 18 6138 88 0.1434E-01
11 19 6054 50 0.8259E-02
11 20 6063 30 0.4948E-02
11 21 6101 13 0.2131E-02
11 22 6138 8 0.1303E-02
12 12 6668 1324 0.1986
12 13 6700 1047 0.1563
12 14 6715 814 0.1212
12 15 6685 582 0.8706E-01
12 16 6697 429 0.6406E-01
12 17 6736 269 0.3993E-01
12 18 6691 186 0.2780E-01
12 19 6676 116 0.1738E-01
12 20 6643 60 0.9032E-02
12 21 6719 48 0.7144E-02
12 22 6684 24 0.3591E-02
12 23 6687 11 0.1645E-02
12 24 6698 6 0.8958E-03
13 13 7240 1395 0.1927
13 14 7274 1123 0.1544
13 15 7237 831 0.1148
13 16 7181 606 0.8439E-01
13 17 7281 480 0.6593E-01
13 18 7315 335 0.4580E-01
13 19 7261 234 0.3223E-01
13 20 7307 150 0.2053E-01
13 21 7267 82 0.1128E-01
13 22 7235 49 0.6773E-02
13 23 7171 26 0.3626E-02
13 24 7271 11 0.1513E-02
13 25 7285 7 0.9609E-03
13 26 7258 1 0.1378E-03
14 14 7814 1483 0.1898
14 15 7819 1175 0.1503
14 16 7702 844 0.1096
14 17 7835 705 0.8998E-01
14 18 7840 508 0.6480E-01
14 19 7775 345 0.4437E-01
14 20 7581 193 0.2546E-01
14 21 7714 150 0.1945E-01
14 22 7689 84 0.1092E-01
14 23 7796 52 0.6670E-02
14 24 7820 41 0.5243E-02
14 25 7782 16 0.2056E-02
14 26 7790 16 0.2054E-02
14 27 7794 5 0.6415E-03
14 28 7717 2 0.2592E-03
15 15 8296 1500 0.1808
15 16 8325 1200 0.1441
15 17 8402 978 0.1164
15 18 8401 752 0.8951E-01
