1 17 22 28441 6134 0.2157
1 17 23 28239 5096 0.1805
1 17 24 28178 4277 0.1518
1 17 25 28339 3617 0.1276
1 17 26 28650 3179 0.1110
1 17 27 28350 2374 0.8374E-01
1 17 28 28465 1907 0.6699E-01
1 17 29 28282 1408 0.4978E-01
1 17 30 28710 1230 0.4284E-01
1 17 31 28464 817 0.2870E-01
1 17 32 28347 574 0.2025E-01
1 17 33 28357 416 0.1467E-01
1 17 34 28463 303 0.1065E-01
1 18 18 30048 11446 0.3809
1 18 19 30119 10410 0.3456
1 18 20 29907 9215 0.3081
1 18 21 30052 8356 0.2781
1 18 22 29769 7200 0.2419
1 18 23 29774 6337 0.2128
1 18 24 30210 5861 0.1940
1 18 25 30116 4943 0.1641
1 18 26 30206 4267 0.1413
1 18 27 29997 3393 0.1131
1 18 28 30081 2835 0.9425E-01
1 18 29 30204 2294 0.7595E-01
1 18 30 29923 1677 0.5604E-01
1 18 31 30019 1315 0.4381E-01
1 18 32 29863 936 0.3134E-01
1 18 33 30279 820 0.2708E-01
1 18 34 30058 560 0.1863E-01
1 18 35 29963 375 0.1252E-01
1 18 36 29844 253 0.8477E-02
1 19 19 31680 11934 0.3767
1 19 20 31370 10587 0.3375
1 19 21 31703 9864 0.3111
1 19 22 32012 9190 0.2871
1 19 23 31887 8144 0.2554
1 19 24 31680 7074 0.2233
1 19 25 31585 6156 0.1949
1 19 26 31494 5228 0.1660
1 19 27 31660 4557 0.1439
1 19 28 31723 3891 0.1227
1 19 29 31567 3103 0.9830E-01
1 19 30 31842 2613 0.8206E-01
1 19 31 31489 1953 0.6202E-01
1 19 32 31780 1676 0.5274E-01
1 19 33 31554 1203 0.3813E-01
1 19 34 31968 972 0.3041E-01
1 19 35 31989 691 0.2160E-01
1 19 36 31452 445 0.1415E-01
1 19 37 31818 390 0.1226E-01
1 19 38 31825 302 0.9489E-02
1 20 20 33243 12438 0.3742
1 20 21 33449 11528 0.3446
1 20 22 33544 10595 0.3159
1 20 23 33785 9852 0.2916
1 20 24 33242 8443 0.2540
1 20 25 33474 7708 0.2303
1 20 26 33320 6706 0.2013
1 20 27 32910 5531 0.1681
1 20 28 33542 5224 0.1557
1 20 29 33198 4235 0.1276
1 20 30 33444 3653 0.1092
1 20 31 33671 3124 0.9278E-01
1 20 32 33504 2458 0.7336E-01
1 20 33 32837 1715 0.5223E-01
1 20 34 33140 1400 0.4225E-01
1 20 35 33331 1120 0.3360E-01
1 20 36 33424 876 0.2621E-01
1 20 37 33250 641 0.1928E-01
1 20 38 33409 506 0.1515E-01
1 20 39 32978 283 0.8581E-02
1 20 40 33001 220 0.6666E-02
1 21 21 34995 13090 0.3741
1 21 22 34908 11891 0.3406
1 21 23 35376 11259 0.3183
1 21 24 34924 9900 0.2835
1 21 25 35040 9046 0.2582
1 21 26 34895 8046 0.2306
1 21 27 34785 7062 0.2030
1 21 28 35114 6466 0.1841
1 21 29 34782 5393 0.1551
1 21 30 34869 4665 0.1338
1 21 31 34626 3721 0.1075
1 21 32 34751 3230 0.9295E-01
1 21 33 34708 2552 0.7353E-01
1 21 34 35223 2281 0.6476E-01
1 21 35 35075 1747 0.4981E-01
1 21 36 35104 1339 0.3814E-01
1 21 37 35114 1070 0.3047E-01
1 21 38 35091 837 0.2385E-01
1 21 39 35292 635 0.1799E-01
1 21 40 34881 440 0.1261E-01
1 21 41 34923 303 0.8676E-02
1 21 42 35146 258 0.7341E-02
1 22 22 36532 13531 0.3704
1 22 23 36736 12617 0.3435
1 22 24 36774 11575 0.3148
1 22 25 36499 10352 0.2836
1 22 26 37055 9921 0.2677
1 22 27 36589 8583 0.2346
1 22 28 36773 7855 0.2136
1 22 29 36933 7100 0.1922
1 22 30 36673 6031 0.1645
1 22 31 36789 5326 0.1448
1 22 32 36481 4312 0.1182
1 22 33 36659 3748 0.1022
1 22 34 36708 3169 0.8633E-01
1 22 35 36525 2488 0.6812E-01
1 22 36 37044 2208 0.5960E-01
1 22 37 36722 1617 0.4403E-01
1 22 38 37094 1385 0.3734E-01
1 22 39 36908 1048 0.2839E-01
1 22 40 36711 697 0.1899E-01
1 22 41 36705 521 0.1419E-01
1 22 42 36365 384 0.1056E-01
1 22 43 36810 333 0.9046E-02
1 22 44 36941 255 0.6903E-02
1 23 23 38630 14485 0.3750
1 23 24 38508 13255 0.3442
1 23 25 38022 11747 0.3090
1 23 26 38153 10919 0.2862
1 23 27 38075 9919 0.2605
1 23 28 38293 9189 0.2400
1 23 29 38623 8538 0.2211
1 23 30 38117 7172 0.1882
